DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0101,2,2017,19,1,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,4,2017,10,3,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,5,2017,1,3,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,5,2017,18,1,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,5,2017,25,4,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,9,2017,5,5,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,1,2018,24,8,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,5,2018,16,10,2017,1,0101,999,999,9,9,320,320,9,9,97,43
1,0101,11,2017,6,9,2017,1,0101,999,999,9,9,320,320,9,9,34,97
1,0102,8,2017,1,6,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,3,2017,11,1,2017,1,0101,999,999,9,9,320,320,9,9,97,97
1,0101,11,2017,29,5,2017,1,0101,999,999,9,9,320,320,9,9,21,52
1,0101,7,2017,24,4,2017,1,0101,999,999,9,9,320,320,9,9,52,52
1,0101,9,2017,28,6,2017,1,0101,999,999,9,9,320,320,9,9,97,52
1,0110,12,2017,17,10,2017,1,0110,999,999,9,9,320,320,9,9,71,75
16,1615,8,2017,31,7,2017,1,0101,999,999,9,9,320,320,9,9,73,75
1,0101,7,2017,19,5,2017,1,0101,999,999,9,9,320,320,9,9,92,75
1,0101,5,2017,16,2,2017,1,0101,999,999,9,9,320,320,9,9,97,75
1,0101,8,2017,14,3,2017,1,0101,999,999,9,9,320,320,9,9,97,75
1,0115,8,2017,6,6,2017,1,0101,999,999,9,9,320,320,9,9,92,81
1,0101,4,2018,17,11,2017,1,0101,999,999,9,9,320,320,9,9,21,97
